id,time_mmss,original_time_sec,start_sec,duration_sec,text_raw,spoken_text,speaker_role,spatial_anchor,audio_clip,sentiment,priority
emotion_tts_001,00:03.338,3.338,3.338,1.53,这气氛吓人啊,这气氛吓人啊,tense_fan,seat_left,Audio/TTS/emotion_tts_001.wav,positive,0.82
emotion_tts_002,00:22.400,22.4,22.4,1.89,这球当时吓死我了,这球当时吓死我了,tense_fan,seat_right,Audio/TTS/emotion_tts_002.wav,positive,0.82
emotion_tts_003,01:14.111,74.111,74.111,2.25,这种场合如此轻描淡写,这种场合如此轻描淡写,excited_fan,seat_front,Audio/TTS/emotion_tts_003.wav,positive,0.86
emotion_tts_004,01:18.405,78.405,78.405,2.17,这才是坚毅的眼神！！！,这才是坚毅的眼神！,excited_fan,seat_back,Audio/TTS/emotion_tts_004.wav,positive,0.86
emotion_tts_005,01:20.494,80.494,80.494,1.71,心理素质成神了,心理素质成神了,excited_fan,seat_left,Audio/TTS/emotion_tts_005.wav,positive,0.86
emotion_tts_006,01:22.322,82.322,82.322,1.45,球王风范！,球王风范！,excited_fan,seat_right,Audio/TTS/emotion_tts_006.wav,positive,0.86
emotion_tts_007,01:43.322,103.322,103.322,1.71,心理素质太好了,心理素质太好了,excited_fan,seat_front,Audio/TTS/emotion_tts_007.wav,positive,0.86
emotion_tts_008,01:48.511,108.511,108.511,1.35,迷茫的眼神,迷茫的眼神,tense_fan,seat_back,Audio/TTS/emotion_tts_008.wav,negative,0.88
emotion_tts_009,01:50.241,110.241,110.241,1.71,肉眼可见的兴奋,肉眼可见的兴奋,excited_fan,seat_left,Audio/TTS/emotion_tts_009.wav,positive,0.86
emotion_tts_010,01:58.001,118.001,118.001,0.85,Vamos,Vamos,chant_fan,seat_right,Audio/TTS/emotion_tts_010.wav,positive,0.92
emotion_tts_011,02:46.484,166.484,166.484,1.81,这个也很吓人。。。。,这个也很吓人。,tense_fan,seat_front,Audio/TTS/emotion_tts_011.wav,positive,0.82
emotion_tts_012,03:03.402,183.402,183.402,1.17,太刺激了,太刺激了,excited_fan,seat_back,Audio/TTS/emotion_tts_012.wav,positive,0.86
emotion_tts_013,03:06.139,186.139,186.139,0.85,speed,speed,excited_fan,seat_left,Audio/TTS/emotion_tts_013.wav,positive,0.86
emotion_tts_014,03:07.519,187.519,187.519,1.45,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,哈哈哈哈。,amused_fan,seat_right,Audio/TTS/emotion_tts_014.wav,positive,0.88
emotion_tts_015,03:09.947,189.947,189.947,1.53,哈哈哈哈哈哈,哈哈哈哈哈哈,amused_fan,seat_front,Audio/TTS/emotion_tts_015.wav,positive,0.88
emotion_tts_016,03:12.662,192.662,192.662,1.91,Hhhhhhh 笑死了,哈哈，笑死了。,amused_fan,seat_back,Audio/TTS/emotion_tts_016.wav,positive,0.88
emotion_tts_017,03:20.913,200.913,200.913,1.17,哈哈哈哈,哈哈哈哈,amused_fan,seat_left,Audio/TTS/emotion_tts_017.wav,positive,0.88
emotion_tts_018,03:43.383,223.383,223.383,1.35,哈哈哈哈哈,哈哈哈哈哈,amused_fan,seat_right,Audio/TTS/emotion_tts_018.wav,positive,0.88
emotion_tts_019,03:47.977,227.977,227.977,1.71,哈哈哈哈哈哈哈,哈哈哈哈哈哈哈,amused_fan,seat_front,Audio/TTS/emotion_tts_019.wav,positive,0.88
emotion_tts_020,03:47.977,227.977,228.097,1.35,哈哈哈哈哈,哈哈哈哈哈,amused_fan,seat_back,Audio/TTS/emotion_tts_020.wav,positive,0.88
emotion_tts_021,03:49.260,229.26,229.26,0.99,哈哈哈,哈哈哈,amused_fan,seat_left,Audio/TTS/emotion_tts_021.wav,positive,0.88
emotion_tts_022,03:51.429,231.429,231.429,1.45,哈哈哈哈哈哈哈哈哈,哈哈哈哈。,amused_fan,seat_right,Audio/TTS/emotion_tts_022.wav,positive,0.88
emotion_tts_023,04:00.681,240.681,240.681,1.53,哈哈哈哈哈哈,哈哈哈哈哈哈,amused_fan,seat_front,Audio/TTS/emotion_tts_023.wav,positive,0.88
emotion_tts_024,04:11.768,251.768,251.768,1.45,摇起来了！！！！,摇起来了！,excited_fan,seat_back,Audio/TTS/emotion_tts_024.wav,positive,0.86
emotion_tts_025,04:17.637,257.637,257.637,1.53,这位可真帅啊,这位可真帅啊,excited_fan,seat_left,Audio/TTS/emotion_tts_025.wav,positive,0.86
emotion_tts_026,05:29.973,329.973,329.973,1.27,笑起来！！！！！！,笑起来！,amused_fan,seat_right,Audio/TTS/emotion_tts_026.wav,positive,0.88
emotion_tts_027,05:36.906,336.906,336.906,2.25,世界上压力最大的男人,世界上压力最大的男人,tense_fan,seat_front,Audio/TTS/emotion_tts_027.wav,negative,0.82
emotion_tts_028,05:48.241,348.241,348.241,2.71,自带百分百点球命中天赋！,自带百分百点球命中天赋！,excited_fan,seat_back,Audio/TTS/emotion_tts_028.wav,positive,0.86
