burst_id,time_range,start_seconds,end_seconds,peak_seconds,peak_raw_count_5s,duration_seconds,baseline_multiplier,filtered_count,burst_kind,event_label,event_type
E-1,08:10-09:00,490,540,510,1477,50,135.761296660118,211,比赛内容候选峰,待人工回看确认,待人工回看确认
E-2,12:05-12:40,725,760,725,18,35,1.65450463092899,121,比赛内容候选峰,待人工回看确认,待人工回看确认
E-3,15:50-18:05,950,1085,965,352,135,32.3547572270558,514,弹幕/社群行为峰（非比赛事件）,待人工回看确认,待人工回看确认
E-4,20:25-20:40,1225,1240,1225,16,15,1.47067078304799,48,比赛内容候选峰,待人工回看确认,待人工回看确认
E-5,27:00-27:20,1620,1640,1620,12,20,1.10300308728599,74,弹幕/社群行为峰（非比赛事件）,待人工回看确认,待人工回看确认
E-6,40:00-40:05,2400,2405,2400,15,5,1.37875385910749,47,比赛内容候选峰,待人工回看确认,待人工回看确认
E-7,41:40-42:15,2500,2535,2505,20,35,1.83833847880999,149,比赛内容候选峰,待人工回看确认,待人工回看确认
E-8,45:20-45:45,2720,2745,2725,20,25,1.83833847880999,112,比赛内容候选峰,待人工回看确认,待人工回看确认
E-9,49:15-49:20,2955,2960,2955,12,5,1.10300308728599,37,赛果/夺冠情绪峰,待人工回看确认,待人工回看确认
E-10,49:45-50:50,2985,3050,3000,27,65,2.48175694639349,296,赛果/夺冠情绪峰,待人工回看确认,待人工回看确认
