window_start_seconds,window_end_seconds,time_label,raw_count,count_per_second
0,5,00:00-00:05,21,4.2
5,10,00:05-00:10,11,2.2
10,15,00:10-00:15,10,2
15,20,00:15-00:20,10,2
20,25,00:20-00:25,6,1.2
25,30,00:25-00:30,3,0.6
30,35,00:30-00:35,1,0.2
35,40,00:35-00:40,3,0.6
40,45,00:40-00:45,2,0.4
45,50,00:45-00:50,0,0
50,55,00:50-00:55,3,0.6
55,60,00:55-01:00,4,0.8
60,65,01:00-01:05,1,0.2
65,70,01:05-01:10,2,0.4
70,75,01:10-01:15,0,0
75,80,01:15-01:20,4,0.8
80,85,01:20-01:25,4,0.8
85,90,01:25-01:30,5,1
90,95,01:30-01:35,6,1.2
95,100,01:35-01:40,5,1
100,105,01:40-01:45,4,0.8
105,110,01:45-01:50,4,0.8
110,115,01:50-01:55,1,0.2
115,120,01:55-02:00,0,0
120,125,02:00-02:05,1,0.2
125,130,02:05-02:10,0,0
130,135,02:10-02:15,3,0.6
135,140,02:15-02:20,1,0.2
140,145,02:20-02:25,1,0.2
145,150,02:25-02:30,1,0.2
150,155,02:30-02:35,2,0.4
155,160,02:35-02:40,1,0.2
160,165,02:40-02:45,1,0.2
165,170,02:45-02:50,2,0.4
170,175,02:50-02:55,7,1.4
175,180,02:55-03:00,4,0.8
180,185,03:00-03:05,2,0.4
185,190,03:05-03:10,3,0.6
190,195,03:10-03:15,6,1.2
195,200,03:15-03:20,4,0.8
200,205,03:20-03:25,2,0.4
205,210,03:25-03:30,3,0.6
210,215,03:30-03:35,3,0.6
215,220,03:35-03:40,1,0.2
220,225,03:40-03:45,1,0.2
225,230,03:45-03:50,1,0.2
230,235,03:50-03:55,4,0.8
235,240,03:55-04:00,5,1
240,245,04:00-04:05,2,0.4
245,250,04:05-04:10,2,0.4
250,255,04:10-04:15,1,0.2
255,260,04:15-04:20,1,0.2
260,265,04:20-04:25,2,0.4
265,270,04:25-04:30,4,0.8
270,275,04:30-04:35,1,0.2
275,280,04:35-04:40,3,0.6
280,285,04:40-04:45,4,0.8
285,290,04:45-04:50,2,0.4
290,295,04:50-04:55,4,0.8
295,300,04:55-05:00,6,1.2
300,305,05:00-05:05,3,0.6
305,310,05:05-05:10,2,0.4
310,315,05:10-05:15,1,0.2
315,320,05:15-05:20,1,0.2
320,325,05:20-05:25,0,0
325,330,05:25-05:30,0,0
330,335,05:30-05:35,1,0.2
335,340,05:35-05:40,2,0.4
340,345,05:40-05:45,2,0.4
345,350,05:45-05:50,6,1.2
350,355,05:50-05:55,3,0.6
355,360,05:55-06:00,4,0.8
360,365,06:00-06:05,1,0.2
365,370,06:05-06:10,3,0.6
370,375,06:10-06:15,0,0
375,380,06:15-06:20,1,0.2
380,385,06:20-06:25,0,0
385,390,06:25-06:30,3,0.6
390,395,06:30-06:35,4,0.8
395,400,06:35-06:40,2,0.4
400,405,06:40-06:45,4,0.8
405,410,06:45-06:50,1,0.2
410,415,06:50-06:55,2,0.4
415,420,06:55-07:00,6,1.2
420,425,07:00-07:05,4,0.8
425,430,07:05-07:10,4,0.8
430,435,07:10-07:15,3,0.6
435,440,07:15-07:20,6,1.2
440,445,07:20-07:25,2,0.4
445,450,07:25-07:30,3,0.6
450,455,07:30-07:35,4,0.8
455,460,07:35-07:40,7,1.4
460,465,07:40-07:45,9,1.8
465,470,07:45-07:50,1,0.2
470,475,07:50-07:55,5,1
475,480,07:55-08:00,8,1.6
480,485,08:00-08:05,3,0.6
485,490,08:05-08:10,7,1.4
490,495,08:10-08:15,12,2.4
495,500,08:15-08:20,14,2.8
500,505,08:20-08:25,13,2.6
505,510,08:25-08:30,53,10.6
