window_start_seconds,window_end_seconds,time_label,raw_count,count_per_second
0,10,00:00-00:10,32,3.2
10,20,00:10-00:20,20,2.0
20,30,00:20-00:30,9,0.9
30,40,00:30-00:40,4,0.4
40,50,00:40-00:50,2,0.2
50,60,00:50-01:00,7,0.7
60,70,01:00-01:10,3,0.3
70,80,01:10-01:20,4,0.4
80,90,01:20-01:30,9,0.9
90,100,01:30-01:40,11,1.1
100,110,01:40-01:50,8,0.8
110,120,01:50-02:00,1,0.1
120,130,02:00-02:10,1,0.1
130,140,02:10-02:20,4,0.4
140,150,02:20-02:30,2,0.2
150,160,02:30-02:40,3,0.3
160,170,02:40-02:50,3,0.3
170,180,02:50-03:00,11,1.1
180,190,03:00-03:10,5,0.5
190,200,03:10-03:20,10,1.0
200,210,03:20-03:30,5,0.5
210,220,03:30-03:40,4,0.4
220,230,03:40-03:50,2,0.2
230,240,03:50-04:00,9,0.9
240,250,04:00-04:10,4,0.4
250,260,04:10-04:20,2,0.2
260,270,04:20-04:30,6,0.6
270,280,04:30-04:40,4,0.4
280,290,04:40-04:50,6,0.6
290,300,04:50-05:00,10,1.0
300,310,05:00-05:10,5,0.5
310,320,05:10-05:20,2,0.2
320,330,05:20-05:30,0,0.0
330,340,05:30-05:40,3,0.3
340,350,05:40-05:50,8,0.8
350,360,05:50-06:00,7,0.7
360,370,06:00-06:10,4,0.4
370,380,06:10-06:20,1,0.1
380,390,06:20-06:30,3,0.3
390,400,06:30-06:40,6,0.6
400,410,06:40-06:50,5,0.5
410,420,06:50-07:00,8,0.8
420,430,07:00-07:10,8,0.8
430,440,07:10-07:20,9,0.9
440,450,07:20-07:30,5,0.5
450,460,07:30-07:40,11,1.1
460,470,07:40-07:50,10,1.0
470,480,07:50-08:00,13,1.3
480,490,08:00-08:10,10,1.0
490,500,08:10-08:20,26,2.6
500,510,08:20-08:30,66,6.6
510,520,08:30-08:40,2307,230.7
520,530,08:40-08:50,73,7.3
530,540,08:50-09:00,25,2.5
540,550,09:00-09:10,12,1.2
550,560,09:10-09:20,20,2.0
560,570,09:20-09:30,13,1.3
570,580,09:30-09:40,17,1.7
580,590,09:40-09:50,14,1.4
590,600,09:50-10:00,14,1.4
600,610,10:00-10:10,4,0.4
610,620,10:10-10:20,2,0.2
620,630,10:20-10:30,9,0.9
630,640,10:30-10:40,5,0.5
640,650,10:40-10:50,5,0.5
650,660,10:50-11:00,9,0.9
660,670,11:00-11:10,11,1.1
670,680,11:10-11:20,12,1.2
680,690,11:20-11:30,3,0.3
690,700,11:30-11:40,13,1.3
700,710,11:40-11:50,11,1.1
710,720,11:50-12:00,7,0.7
720,730,12:00-12:10,22,2.2
730,740,12:10-12:20,26,2.6
740,750,12:20-12:30,12,1.2
750,760,12:30-12:40,27,2.7
760,770,12:40-12:50,20,2.0
770,780,12:50-13:00,16,1.6
780,790,13:00-13:10,12,1.2
790,800,13:10-13:20,11,1.1
800,810,13:20-13:30,4,0.4
810,820,13:30-13:40,5,0.5
820,830,13:40-13:50,6,0.6
830,840,13:50-14:00,6,0.6
840,850,14:00-14:10,4,0.4
850,860,14:10-14:20,9,0.9
860,870,14:20-14:30,6,0.6
870,880,14:30-14:40,8,0.8
880,890,14:40-14:50,7,0.7
890,900,14:50-15:00,4,0.4
900,910,15:00-15:10,4,0.4
910,920,15:10-15:20,5,0.5
920,930,15:20-15:30,3,0.3
930,940,15:30-15:40,3,0.3
940,950,15:40-15:50,9,0.9
950,960,15:50-16:00,387,38.7
960,970,16:00-16:10,608,60.8
970,980,16:10-16:20,450,45.0
980,990,16:20-16:30,122,12.2
990,1000,16:30-16:40,49,4.9
1000,1010,16:40-16:50,54,5.4
1010,1020,16:50-17:00,35,3.5
1020,1030,17:00-17:10,21,2.1
