time_seconds,mode,font_size,color,timestamp,pool,user_hash,danmaku_id,raw_text,clean_text,normalized_text,is_duplicate_like,is_spam_like,is_symbol_only,text_length,priority_score,evidence_weight
0.0,5,25,#E70012,1762691323,0,2e4d5293,1976357079703387392,faker如果你是世界第一中单，那就证明给我看———多兰,faker如果你是世界第一中单，那就证明给我看———多兰,faker如果你是世界第一中单，那就证明给我看———多兰,False,False,False,28,4.6,4.6
0.0,1,25,#FFFFFF,1763469767,0,f1b8ac9,1982887140564543744,\,\,\,True,False,True,1,0.083,0.1
0.371,1,25,#FFFFFF,1765519218,0,4eb4bc99,2000079181509734400,捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？,捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？,捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？捞木四能拿个三连冠吗？？？,False,False,False,65,3.8,3.8
0.742,1,25,#FFFFFF,1762875421,0,80dd932a,1977901407881456128,被俩大运吓哭了,被俩大运吓哭了,被俩大运吓哭了,False,False,False,7,3.383,3.383
1.141,1,25,#FFFFFF,1763265175,0,d3b51c1e,1981170900422786048,uzi太尴尬跑了,uzi太尴尬跑了,uzi太尴尬跑了,False,False,False,8,3.017,3.017
1.147,1,25,#FFFFFF,1763395571,0,57323a7a,1982264737978755072,OFGK最后一舞，再见了T1 GUMAYUSI,OFGK最后一舞，再见了T1 GUMAYUSI,ofgk最后一舞，再见了t1gumayusi,False,False,False,23,4.267,4.267
1.648,1,25,#FFFFFF,1769980070,0,33e9dd93,2037499523295015680,杂交赛区最害怕的一集,杂交赛区最害怕的一集,杂交赛区最害怕的一集,False,False,False,10,3.183,3.183
1.651,1,25,#FFFFFF,1781975034,0,d11abc90,2138120569022242560,吓哭了,吓哭了,吓哭了,True,True,False,3,1.25,0.14258961381158777
1.706,1,25,#FFFFFF,1780815537,0,653c9951,2128394004092535040,六冠王！,六冠王！,六冠王！,True,False,False,4,2.683,1.2784638756226732
1.843,1,25,#FFFFFF,1775541160,0,d11abc90,2084149328674748160,吓哭了,吓哭了,吓哭了,True,True,False,3,1.25,0.14258961381158777
2.314,1,25,#FFFFFF,1763598587,0,1495bd11,1983967759025187072,BDD你的队友呢,BDD你的队友呢,bdd你的队友呢,False,False,False,8,3.017,3.017
2.548,5,25,#FE0302,1763438249,0,e39e213d,1982622749785078784,DOFGK最后一局,DOFGK最后一局,dofgk最后一局,False,False,False,9,3.35,3.35
2.963,1,25,#FFFFFF,1772954052,0,d11abc90,2062447094429807616,吓哭了,吓哭了,吓哭了,True,True,False,3,1.25,0.14258961381158777
3.048,1,25,#FFFFFF,1771507078,0,29782b9,2050308989988349440,多烂,多烂,多烂,False,False,False,2,1.517,1.517
3.22,1,25,#E70012,1766320396,0,d104b597,2006799954202608128,李哥，我也有梦想！,李哥，我也有梦想！,李哥，我也有梦想！,False,False,False,9,3.1,3.1
